,frame,pos_x,pos_y,id
910,114.0,1264,710,G
911,114.0,1311,526,H
912,115.0,496,389,A
913,115.0,1055,424,B
914,115.0,511,700,C
915,115.0,560,548,D
916,115.0,1386,721,E
917,115.0,578,431,F
918,115.0,1268,695,G
919,115.0,1310,516,H
920,116.0,492,395,A
921,116.0,1055,424,B
922,116.0,511,700,C
923,116.0,558,535,D
924,116.0,1386,721,E
925,116.0,584,426,F
926,116.0,1279,682,G
927,116.0,1310,503,H
928,117.0,489,398,A
929,117.0,1055,424,B
930,117.0,511,700,C
931,117.0,564,516,D
932,117.0,1386,721,E
933,117.0,589,417,F
934,117.0,1286,676,G
935,117.0,1309,492,H
936,118.0,483,401,A
937,118.0,1054,424,B
938,118.0,511,700,C
939,118.0,564,498,D
940,118.0,1386,722,E
941,118.0,597,408,F
942,118.0,1296,664,G
943,118.0,1311,476,H
944,119.0,479,402,A
945,119.0,1054,424,B
946,119.0,511,700,C
947,119.0,568,485,D
948,119.0,1386,722,E
949,119.0,608,398,F
950,119.0,1301,662,G
951,119.0,1312,463,H
952,120.0,478,402,A
953,120.0,1054,424,B
954,120.0,511,700,C
955,120.0,579,475,D
956,120.0,1386,723,E
957,120.0,614,387,F
958,120.0,1314,652,G
959,120.0,1315,451,H
960,121.0,479,401,A
961,121.0,1054,424,B
962,121.0,511,700,C
963,121.0,587,465,D
964,121.0,1386,722,E
965,121.0,619,369,F
966,121.0,1320,640,G
967,121.0,1318,441,H
968,122.0,478,402,A
969,122.0,1054,424,B
970,122.0,511,700,C
971,122.0,588,448,D
972,122.0,1386,722,E
973,122.0,629,349,F
974,122.0,1320,629,G
975,122.0,1327,423,H
976,123.0,477,403,A
977,123.0,1054,424,B
978,123.0,511,700,C
979,123.0,589,434,D
980,123.0,1386,723,E
981,123.0,628,334,F
982,123.0,1321,618,G
983,123.0,1329,415,H
984,124.0,476,403,A
985,124.0,1054,424,B
986,124.0,511,700,C
987,124.0,596,418,D
988,124.0,1386,723,E
989,124.0,631,318,F
990,124.0,1321,609,G
991,124.0,1334,401,H
992,125.0,476,402,A
993,125.0,1054,424,B
994,125.0,511,700,C
995,125.0,604,403,D
996,125.0,1386,723,E
997,125.0,643,300,F
998,125.0,1315,600,G
999,125.0,1336,393,H
1000,126.0,477,402,A
1001,126.0,1054,424,B
1002,126.0,511,700,C
1003,126.0,607,384,D
1004,126.0,1386,723,E
1005,126.0,645,283,F
1006,126.0,1310,597,G
1007,126.0,1339,377,H
1008,127.0,480,404,A
1009,127.0,1054,424,B
1010,127.0,511,700,C
1011,127.0,608,373,D
1012,127.0,1386,723,E
1013,127.0,646,265,F
1014,127.0,1302,594,G
1015,127.0,1340,367,H
1016,128.0,478,406,A
1017,128.0,1054,424,B
1018,128.0,511,700,C
1019,128.0,616,353,D
1020,128.0,1386,723,E
1021,128.0,654,243,F
1022,128.0,1298,583,G
1023,128.0,1338,357,H
1024,129.0,478,407,A
1025,129.0,1054,424,B
1026,129.0,511,700,C
1027,129.0,614,332,D
1028,129.0,1386,724,E
1029,129.0,657,229,F
1030,129.0,1297,567,G
1031,129.0,1334,351,H
1032,130.0,480,407,A
1033,130.0,1054,424,B
1034,130.0,511,700,C
1035,130.0,617,318,D
1036,130.0,1386,724,E
1037,130.0,660,213,F
1038,130.0,1297,556,G
1039,130.0,1327,342,H
1040,131.0,481,408,A
1041,131.0,1054,424,B
1042,131.0,511,700,C
1043,131.0,631,299,D
1044,131.0,1386,724,E
1045,131.0,672,203,F
1046,131.0,1306,540,G
1047,131.0,1323,332,H
1048,132.0,482,410,A
1049,132.0,1054,424,B
1050,132.0,511,700,C
1051,132.0,639,285,D
1052,132.0,1386,723,E
1053,132.0,685,190,F
1054,132.0,1309,527,G
1055,132.0,1316,321,H
1056,133.0,485,413,A
1057,133.0,1054,424,B
1058,133.0,511,700,C
1059,133.0,646,267,D
1060,133.0,1386,724,E
1061,133.0,693,179,F
1062,133.0,1313,518,G
1063,133.0,1312,310,H
1064,134.0,487,414,A
1065,134.0,1054,424,B
1066,134.0,511,700,C
1067,134.0,657,261,D
1068,134.0,1386,724,E
1069,134.0,713,176,F
1070,134.0,1319,513,G
1071,134.0,1309,298,H
1072,135.0,488,417,A
1073,135.0,1054,424,B
1074,135.0,511,700,C
1075,135.0,668,248,D
1076,135.0,1386,724,E
1077,135.0,729,179,F
1078,135.0,1319,509,G
1079,135.0,1306,289,H
1080,136.0,491,419,A
1081,136.0,1054,424,B
1082,136.0,511,700,C
1083,136.0,674,229,D
1084,136.0,1386,724,E
1085,136.0,740,179,F
1086,136.0,1320,500,G
1087,136.0,1301,280,H
1088,137.0,494,421,A
1089,137.0,1054,424,B
1090,137.0,511,700,C
1091,137.0,678,220,D
1092,137.0,1386,724,E
1093,137.0,764,182,F
1094,137.0,1320,491,G
1095,137.0,1293,273,H
1096,138.0,496,424,A
1097,138.0,1054,424,B
1098,138.0,511,700,C
1099,138.0,696,204,D
1100,138.0,1386,724,E
1101,138.0,780,177,F
1102,138.0,1322,480,G
1103,138.0,1287,264,H
1104,139.0,498,429,A
1105,139.0,1054,424,B
